ID  | Name             | Type                     | Reading    | Units | Event
1   | Temp             | Temperature              | N/A        | C     | N/A
2   | Temp             | Temperature              | N/A        | C     | N/A
3   | Temp             | Temperature              | N/A        | C     | N/A
4   | Ambient Temp     | Temperature              | N/A        | C     | N/A
5   | Ambient Temp     | Temperature              | N/A        | C     | N/A
6   | Temp             | Temperature              | N/A        | C     | N/A
7   | Ambient Temp     | Temperature              | 29.00      | C     | 'OK'
8   | Planar Temp      | Temperature              | N/A        | C     | N/A
9   | CMOS Battery     | Battery                  | N/A        | N/A   | 'OK'
10  | ROMB Battery     | Battery                  | N/A        | N/A   | N/A
11  | VCORE PG         | Voltage                  | N/A        | N/A   | 'State Deasserted'
12  | CPU1 0.75 VTT PG | Voltage                  | N/A        | N/A   | 'State Deasserted'
13  | 1.8V AUX PG      | Voltage                  | N/A        | N/A   | 'State Deasserted'
14  | PS PG            | Voltage                  | N/A        | N/A   | 'State Deasserted'
15  | Riser2 5V PG     | Voltage                  | N/A        | N/A   | 'State Deasserted'
16  | Riser1 5V PG     | Voltage                  | N/A        | N/A   | 'State Deasserted'
17  | CPU1 MEM FAIL    | Voltage                  | N/A        | N/A   | 'State Deasserted'
18  | CPU1 VTT FAIL    | Voltage                  | N/A        | N/A   | 'State Deasserted'
19  | 1.05V AUX PG     | Voltage                  | N/A        | N/A   | 'State Deasserted'
20  | 1.8V PLL CPU1 PG | Voltage                  | N/A        | N/A   | 'State Deasserted'
21  | 1.2V LOM FAIL    | Voltage                  | N/A        | N/A   | 'State Deasserted'
22  | 1.2V AUX FAIL    | Voltage                  | N/A        | N/A   | 'State Deasserted'
23  | 1.05V PG         | Voltage                  | N/A        | N/A   | 'State Deasserted'
24  | FAN MOD 1A RPM   | Fan                      | 6720.00    | RPM   | 'OK'
25  | FAN MOD 1B RPM   | Fan                      | 5640.00    | RPM   | 'OK'
26  | FAN MOD 2A RPM   | Fan                      | 6720.00    | RPM   | 'OK'
27  | FAN MOD 2B RPM   | Fan                      | 5520.00    | RPM   | 'OK'
28  | FAN MOD 3A RPM   | Fan                      | 4920.00    | RPM   | 'OK'
29  | FAN MOD 3B RPM   | Fan                      | 3840.00    | RPM   | 'OK'
30  | FAN MOD 4A RPM   | Fan                      | 5400.00    | RPM   | 'OK'
31  | FAN MOD 4B RPM   | Fan                      | 3720.00    | RPM   | 'OK'
32  | FAN MOD 5A RPM   | Fan                      | 5400.00    | RPM   | 'OK'
33  | FAN MOD 5B RPM   | Fan                      | 3600.00    | RPM   | 'OK'
34  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
35  | Heatsink Pres    | Entity Presence          | N/A        | N/A   | 'Entity Present'
36  | iDRAC6 Ent Pres  | Entity Presence          | N/A        | N/A   | 'Entity Absent'
37  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
38  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
39  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
40  | USB Cable Pres   | Entity Presence          | N/A        | N/A   | 'Entity Present'
41  | Riser2 Pres      | Entity Presence          | N/A        | N/A   | 'Entity Present'
42  | Riser1 Pres      | Entity Presence          | N/A        | N/A   | 'Entity Present'
43  | PFault Fail Safe | Voltage                  | N/A        | N/A   | N/A
44  | Status           | Processor                | N/A        | N/A   | 'Processor Presence detected'
45  | Status           | Power Supply             | N/A        | N/A   | 'Presence detected'
46  | Status           | Power Supply             | N/A        | N/A   | 'Presence detected' 'Power Supply input lost (AC/DC)'
47  | Status           | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
48  | iDRAC6 Ent Pres  | Entity Presence          | N/A        | N/A   | 'Entity Absent'
49  | OS Watchdog      | Watchdog 2               | N/A        | N/A   | 'OK'
50  | SEL              | Event Logging Disabled   | N/A        | N/A   | N/A
51  | Intrusion        | Physical Security        | N/A        | N/A   | 'OK'
52  | PS Redundancy    | Power Supply             | N/A        | N/A   | N/A
53  | Fan Redundancy   | Fan                      | N/A        | N/A   | 'Fully Redundant'
54  | CPU Temp Interf  | Temperature              | N/A        | N/A   | N/A
55  | iDRAC6 Upgrade   | OEM Reserved             | N/A        | N/A   | N/A
56  | Drive            | Drive Slot               | N/A        | N/A   | 'Drive Presence'
57  | Cable SAS A      | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
58  | Current 1        | Current                  | 0.28       | A     | 'OK'
59  | Current 2        | Current                  | N/A        | A     | N/A
60  | Voltage 1        | Voltage                  | 236.00     | V     | 'OK'
61  | Voltage 2        | Voltage                  | N/A        | V     | N/A
62  | System Level     | Current                  | 84.00      | W     | 'OK'
63  | Power Optimized  | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
64  | vFlash           | Module/Board             | N/A        | N/A   | N/A
65  | DKM Status       | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0000h'
74  | ECC Corr Err     | Memory                   | N/A        | N/A   | N/A
75  | ECC Uncorr Err   | Memory                   | N/A        | N/A   | N/A
76  | I/O Channel Chk  | Critical Interrupt       | N/A        | N/A   | N/A
77  | PCI Parity Err   | Critical Interrupt       | N/A        | N/A   | N/A
78  | PCI System Err   | Critical Interrupt       | N/A        | N/A   | N/A
79  | SBE Log Disabled | Event Logging Disabled   | N/A        | N/A   | N/A
