ID  | Name             | Type                     | Reading    | Units | Event
1   | SEL              | Event Logging Disabled   | N/A        | N/A   | N/A
2   | Intrusion        | Physical Security        | N/A        | N/A   | 'OK'
12  | Fan1 RPM         | Fan                      | 10440.00   | RPM   | 'OK'
13  | Fan2 RPM         | Fan                      | 10560.00   | RPM   | 'OK'
14  | Fan3 RPM         | Fan                      | 10200.00   | RPM   | 'OK'
15  | Fan4 RPM         | Fan                      | 10200.00   | RPM   | 'OK'
16  | Fan5 RPM         | Fan                      | 10200.00   | RPM   | 'OK'
17  | Fan6 RPM         | Fan                      | 10080.00   | RPM   | 'OK'
18  | Inlet Temp       | Temperature              | 28.00      | C     | 'OK'
19  | Exhaust Temp     | Temperature              | 43.00      | C     | 'OK'
20  | OS Watchdog      | Watchdog 2               | N/A        | N/A   | 'OK'
21  | VCORE PG         | Voltage                  | N/A        | N/A   | 'State Deasserted'
22  | VCORE PG         | Voltage                  | N/A        | N/A   | 'State Deasserted'
23  | 3.3V PG          | Voltage                  | N/A        | N/A   | 'State Deasserted'
24  | 5V PG            | Voltage                  | N/A        | N/A   | 'State Deasserted'
25  | USB Cable Pres   | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
26  | VGA Cable Pres   | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
27  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
28  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
29  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
30  | PLL PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
31  | PLL PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
32  | 1.1V PG          | Voltage                  | N/A        | N/A   | 'State Deasserted'
33  | BP0 5V PG        | Voltage                  | N/A        | N/A   | 'State Deasserted'
34  | M23 VDDQ PG      | Voltage                  | N/A        | N/A   | 'State Deasserted'
35  | M23 VTT PG       | Voltage                  | N/A        | N/A   | 'State Deasserted'
36  | FETDRV PG        | Voltage                  | N/A        | N/A   | 'State Deasserted'
37  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
38  | VSA PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
39  | VSA PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
40  | M01 VDDQ PG      | Voltage                  | N/A        | N/A   | 'State Deasserted'
41  | M01 VDDQ PG      | Voltage                  | N/A        | N/A   | 'State Deasserted'
42  | M23 VTT PG       | Voltage                  | N/A        | N/A   | 'State Deasserted'
43  | M01 VTT PG       | Voltage                  | N/A        | N/A   | 'State Deasserted'
44  | NDC PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
45  | LCD Cable Pres   | Cable/Interconnect       | N/A        | N/A   | 'OK'
46  | VTT PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
47  | VTT PG           | Voltage                  | N/A        | N/A   | 'State Deasserted'
48  | M23 VDDQ PG      | Voltage                  | N/A        | N/A   | 'State Deasserted'
49  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
50  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Absent'
51  | Status           | Processor                | N/A        | N/A   | 'Processor Presence detected'
52  | Status           | Processor                | N/A        | N/A   | 'Processor Presence detected'
53  | Fan Redundancy   | Fan                      | N/A        | N/A   | 'Fully Redundant'
57  | Riser Config Err | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
58  | 1.5V PG          | Voltage                  | N/A        | N/A   | 'State Deasserted'
59  | PS2 PG Fail      | Voltage                  | N/A        | N/A   | 'State Deasserted'
60  | PS1 PG Fail      | Voltage                  | N/A        | N/A   | N/A
61  | BP1 5V PG        | Voltage                  | N/A        | N/A   | 'State Deasserted'
62  | M01 VTT PG       | Voltage                  | N/A        | N/A   | 'State Deasserted'
63  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
64  | PCIe Slot1       | Critical Interrupt       | N/A        | N/A   | N/A
65  | PCIe Slot2       | Critical Interrupt       | N/A        | N/A   | N/A
66  | PCIe Slot3       | Critical Interrupt       | N/A        | N/A   | N/A
67  | PCIe Slot4       | Critical Interrupt       | N/A        | N/A   | 'OK'
68  | PCIe Slot5       | Critical Interrupt       | N/A        | N/A   | N/A
69  | PCIe Slot6       | Critical Interrupt       | N/A        | N/A   | N/A
70  | PCIe Slot7       | Critical Interrupt       | N/A        | N/A   | N/A
71  | A                | Memory                   | N/A        | N/A   | 'Presence detected'
72  | B                | Memory                   | N/A        | N/A   | 'Presence detected'
75  | vFlash           | Module/Board             | N/A        | N/A   | 'OEM Event = 0000h'
76  | CMOS Battery     | Battery                  | N/A        | N/A   | 'OK'
77  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
78  | Presence         | Entity Presence          | N/A        | N/A   | 'Entity Present'
79  | Current 1        | Current                  | N/A        | A     | N/A
80  | Current 2        | Current                  | 1.60       | A     | 'OK'
81  | Voltage 1        | Voltage                  | N/A        | V     | N/A
82  | Voltage 2        | Voltage                  | 236.00     | V     | 'OK'
83  | PS Redundancy    | Power Supply             | N/A        | N/A   | 'Redundancy Lost'
84  | Status           | Power Supply             | N/A        | N/A   | 'Presence detected' 'Power Supply input lost (AC/DC)'
85  | Status           | Power Supply             | N/A        | N/A   | 'Presence detected'
86  | Pwr Consumption  | Current                  | 378.00     | W     | 'OK'
87  | Power Optimized  | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
88  | SD1              | OEM Reserved             | N/A        | N/A   | N/A
89  | SD2              | OEM Reserved             | N/A        | N/A   | N/A
90  | Redundancy       | OEM Reserved             | N/A        | N/A   | N/A
91  | ECC Corr Err     | Memory                   | N/A        | N/A   | N/A
92  | ECC Uncorr Err   | Memory                   | N/A        | N/A   | N/A
93  | I/O Channel Chk  | Critical Interrupt       | N/A        | N/A   | N/A
94  | PCI Parity Err   | Critical Interrupt       | N/A        | N/A   | N/A
95  | PCI System Err   | Critical Interrupt       | N/A        | N/A   | N/A
96  | SBE Log Disabled | Event Logging Disabled   | N/A        | N/A   | N/A
97  | Logging Disabled | Event Logging Disabled   | N/A        | N/A   | N/A
98  | Unknown          | System Event             | N/A        | N/A   | N/A
99  | CPU Protocol Err | Processor                | N/A        | N/A   | N/A
100 | CPU Bus PERR     | Processor                | N/A        | N/A   | N/A
101 | CPU Init Err     | Processor                | N/A        | N/A   | N/A
102 | CPU Machine Chk  | Processor                | N/A        | N/A   | N/A
103 | Memory Spared    | Memory                   | N/A        | N/A   | N/A
104 | Memory Mirrored  | Memory                   | N/A        | N/A   | N/A
105 | Memory RAID      | Memory                   | N/A        | N/A   | N/A
106 | Memory Added     | Memory                   | N/A        | N/A   | N/A
107 | Memory Removed   | Memory                   | N/A        | N/A   | N/A
108 | Memory Cfg Err   | Memory                   | N/A        | N/A   | N/A
109 | Mem Redun Gain   | Memory                   | N/A        | N/A   | N/A
110 | PCIE Fatal Err   | Critical Interrupt       | N/A        | N/A   | N/A
111 | Chipset Err      | Critical Interrupt       | N/A        | N/A   | N/A
112 | Err Reg Pointer  | OEM Reserved             | N/A        | N/A   | N/A
113 | Mem ECC Warning  | Memory                   | N/A        | N/A   | N/A
114 | Mem CRC Err      | Memory                   | N/A        | N/A   | N/A
115 | USB Over-current | Memory                   | N/A        | N/A   | N/A
116 | POST Err         | System Firmware Progress | N/A        | N/A   | N/A
117 | Hdwr version err | Version Change           | N/A        | N/A   | N/A
118 | Mem Overtemp     | Memory                   | N/A        | N/A   | N/A
119 | Mem Fatal SB CRC | Memory                   | N/A        | N/A   | N/A
120 | Mem Fatal NB CRC | Memory                   | N/A        | N/A   | N/A
121 | OS Watchdog Time | Watchdog 1               | N/A        | N/A   | N/A
122 | Non Fatal PCI Er | OEM Reserved             | N/A        | N/A   | N/A
123 | Fatal IO Error   | OEM Reserved             | N/A        | N/A   | N/A
124 | MSR Info Log     | OEM Reserved             | N/A        | N/A   | N/A
125 | TXT Status       | OS Critical Stop         | N/A        | N/A   | N/A
126 | Drive 0          | Drive Slot               | N/A        | N/A   | 'Drive Presence'
127 | Drive 15         | Drive Slot               | N/A        | N/A   | N/A
128 | Cable SAS A      | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
129 | Cable SAS B      | Cable/Interconnect       | N/A        | N/A   | N/A
130 | Cable SAS C      | Cable/Interconnect       | N/A        | N/A   | N/A
131 | Cable SAS D      | Cable/Interconnect       | N/A        | N/A   | N/A
132 | Cable SAS A      | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
133 | Cable SAS B      | Cable/Interconnect       | N/A        | N/A   | 'Cable/Interconnect is connected'
134 | Cable SAS C      | Cable/Interconnect       | N/A        | N/A   | N/A
