Caching SDR repository information: /root/.freeipmi/sdr-cache/sdr-cache-mg-elk-client1.localhost
Caching SDR record 1 of 51 (current record ID 0)
Caching SDR record 51 of 51 (current record ID 50)
ID | Name            | Type         | Reading    | Units | Event
0  | VRM 1           | Power Unit   | N/A        | N/A   | 'Device Inserted/Device Present'
1  | VRM 2           | Power Unit   | N/A        | N/A   | 'Device Inserted/Device Present'
2  | UID Light       | OEM Reserved | N/A        | N/A   | 'OEM Event = 0000h'
3  | Int. Health LED | OEM Reserved | N/A        | N/A   | 'OEM Event = 0000h'
4  | Ext. Health LED | OEM Reserved | N/A        | N/A   | 'OEM Event = 0000h'
5  | Power Supply 1  | Power Supply | 35.00      | W     | 'Presence detected'
6  | Power Supply 2  | Power Supply | 40.00      | W     | 'Presence detected'
7  | Power Supplies  | Power Supply | N/A        | N/A   | 'Fully Redundant'
9  | Fan Block 1     | Fan          | 19.60      | %     | 'transition to Running'
10 | Fan Block 2     | Fan          | N/A        | N/A   | N/A
11 | Fan Block 3     | Fan          | 19.60      | %     | 'transition to Running'
12 | Fan Block 4     | Fan          | 19.60      | %     | 'transition to Running'
13 | Fans            | Fan          | 0.00       | %     | 'Fully Redundant'
15 | Temp 1          | Temperature  | 23.00      | C     | 'OK'
16 | Temp 2          | Temperature  | 40.00      | C     | 'OK'
17 | Temp 3          | Temperature  | N/A        | C     | N/A
18 | Temp 4          | Temperature  | 34.00      | C     | 'OK'
19 | Temp 5          | Temperature  | 37.00      | C     | 'OK'
20 | Temp 6          | Temperature  | 33.00      | C     | 'OK'
21 | Temp 7          | Temperature  | 35.00      | C     | 'OK'
22 | Temp 8          | Temperature  | N/A        | C     | N/A
23 | Temp 9          | Temperature  | 35.00      | C     | 'OK'
24 | Temp 10         | Temperature  | N/A        | C     | N/A
25 | Temp 11         | Temperature  | 35.00      | C     | 'OK'
26 | Temp 12         | Temperature  | 36.00      | C     | 'OK'
27 | Temp 13         | Temperature  | 49.00      | C     | 'OK'
28 | Temp 14         | Temperature  | 31.00      | C     | 'OK'
29 | Temp 15         | Temperature  | 37.00      | C     | 'OK'
30 | Temp 16         | Temperature  | 34.00      | C     | 'OK'
31 | Temp 17         | Temperature  | 31.00      | C     | 'OK'
32 | Temp 18         | Temperature  | 42.00      | C     | 'OK'
33 | Temp 19         | Temperature  | 40.00      | C     | 'OK'
34 | Temp 20         | Temperature  | 41.00      | C     | 'OK'
35 | Temp 21         | Temperature  | 48.00      | C     | 'OK'
36 | Temp 22         | Temperature  | 50.00      | C     | 'OK'
37 | Temp 23         | Temperature  | 43.00      | C     | 'OK'
38 | Temp 24         | Temperature  | 51.00      | C     | 'OK'
39 | Temp 25         | Temperature  | 38.00      | C     | 'OK'
40 | Temp 26         | Temperature  | 50.00      | C     | 'OK'
41 | Temp 27         | Temperature  | 35.00      | C     | 'OK'
42 | Temp 28         | Temperature  | 71.00      | C     | 'OK'
43 | Power Meter     | Current      | 98.00      | W     | 'Device Enabled'
44 | Memory          | Memory       | N/A        | N/A   | 'Correctable memory error' 'Presence detected'
45 | Cntlr 2 Bay 5   | Drive Slot   | N/A        | N/A   | 'Drive Presence'
46 | Cntlr 2 Bay 6   | Drive Slot   | N/A        | N/A   | 'Drive Presence'
47 | Cntlr 2 Bay 7   | Drive Slot   | N/A        | N/A   | 'Drive Presence'
48 | Cntlr 2 Bay 8   | Drive Slot   | N/A        | N/A   | 'Drive Presence'
