ID | Name             | Type                     | Reading    | Units       | Event
0  | UID              | OEM Reserved             | N/A        | N/A         | 'OEM Event = 0001h'
1  | SysHealth_Stat   | Chassis                  | N/A        | N/A         | 'transition to OK'
2  | 01-Inlet Ambient | Temperature              | 23.00      | C           | 'OK'
3  | 02-CPU 1         | Temperature              | 40.00      | C           | 'OK'
4  | 03-CPU 2         | Temperature              | N/A        | C           | N/A
5  | 04-P1 DIMM 1-6   | Temperature              | N/A        | C           | N/A
6  | 05-PMM 1-6       | Temperature              | N/A        | C           | N/A
7  | 06-P1 DIMM 7-12  | Temperature              | 26.00      | C           | 'OK'
8  | 07-PMM 7-12      | Temperature              | N/A        | C           | N/A
9  | 08-P2 DIMM 1-6   | Temperature              | N/A        | C           | N/A
10 | 09-PMM 1-6       | Temperature              | N/A        | C           | N/A
11 | 10-P2 DIMM 7-12  | Temperature              | N/A        | C           | N/A
12 | 11-PMM 7-12      | Temperature              | N/A        | C           | N/A
13 | 12-HD Max        | Temperature              | 35.00      | C           | 'OK'
14 | 13-Exp Bay Drive | Temperature              | N/A        | C           | N/A
15 | 14-Stor Batt 1   | Temperature              | 24.00      | C           | 'OK'
16 | 15-Front Ambient | Temperature              | 24.00      | C           | 'OK'
17 | 16-VR P1         | Temperature              | 30.00      | C           | 'OK'
18 | 17-VR P2         | Temperature              | N/A        | C           | N/A
19 | 18-VR P1 Mem 1   | Temperature              | 28.00      | C           | 'OK'
20 | 19-VR P1 Mem 2   | Temperature              | 27.00      | C           | 'OK'
21 | 20-VR P2 Mem 1   | Temperature              | N/A        | C           | N/A
22 | 21-VR P2 Mem 2   | Temperature              | N/A        | C           | N/A
23 | 22-Chipset       | Temperature              | 37.00      | C           | 'OK'
24 | 23-BMC           | Temperature              | 66.00      | C           | 'OK'
25 | 24-BMC Zone      | Temperature              | 38.00      | C           | 'OK'
26 | 25-HD Controller | Temperature              | 52.00      | C           | 'OK'
27 | 26-HD Cntlr Zone | Temperature              | 31.00      | C           | 'OK'
28 | 27-LOM           | Temperature              | N/A        | C           | N/A
29 | 28-LOM Card      | Temperature              | N/A        | C           | N/A
30 | 29-I/O Zone      | Temperature              | 29.00      | C           | 'OK'
31 | 30-PCI 1         | Temperature              | N/A        | C           | N/A
32 | 31-PCI 1 Zone    | Temperature              | 30.00      | C           | 'OK'
33 | 32-PCI 2         | Temperature              | N/A        | C           | N/A
34 | 33-PCI 2 Zone    | Temperature              | 30.00      | C           | 'OK'
35 | 34-PCI 3         | Temperature              | N/A        | C           | N/A
36 | 35-PCI 3 Zone    | Temperature              | N/A        | C           | N/A
37 | 37-Rear HD Max   | Temperature              | N/A        | C           | N/A
38 | 38-Battery Zone  | Temperature              | 31.00      | C           | 'OK'
39 | 39-P/S 1 Inlet   | Temperature              | N/A        | C           | N/A
40 | 40-P/S 2 Inlet   | Temperature              | N/A        | C           | N/A
41 | 41-P/S 1         | Temperature              | N/A        | C           | N/A
42 | 42-P/S 2         | Temperature              | N/A        | C           | N/A
